---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 Bits to CIO (13) 
---------------------------------------------------
 86735.841000  	    ba	9	2  
 86736.223000  	    30	0	0  
 86758.209000  	    9a	a	2  
 86758.473000  	    10	0	0  
 131769.355000  	    4f	a	2  
 131769.746000  	    4a	a	2  
 131770.119000  	    0	0	0  
 132270.435000  	    ba	9	2  
 132270.811000  	    30	0	0  
 132371.106000  	    99	a	2  
 132371.480000  	    10	0	0  
 132621.767000  	    9a	6	2  
 132622.148000  	    0	0	0  
 132822.443000  	    ba	9	2  
 132822.824000  	    30	0	0  
 132923.132000  	    4f	a	2  
 132923.516000  	    4a	a	2  
 132923.899000  	    0	0	0  
 133424.223000  	    ba	9	2  
 133424.605000  	    30	0	0  
 133524.909000  	    99	a	2  
 133525.289000  	    10	0	0  
 133775.589000  	    9a	6	2  
 133775.978000  	    0	0	0  
 133976.282000  	    ba	9	2  
 133976.674000  	    30	0	0  
 134077.002000  	    4f	a	2  
 134077.399000  	    4a	a	2  
 134077.793000  	    0	0	0  
 134578.127000  	    ba	9	2  
 134578.521000  	    30	0	0  
 134678.838000  	    99	a	2  
 134679.227000  	    10	0	0  
 134929.537000  	    9a	6	2  
 134929.936000  	    0	0	0  
 135130.257000  	    ba	9	2  
 135130.660000  	    30	0	0  
 135230.993000  	    4f	a	2  
 135231.449000  	    4a	a	2  
 135231.873000  	    0	0	0  
 135732.245000  	    ba	9	2  
 135732.661000  	    30	0	0  
 135833.071000  	    99	a	2  
 135833.486000  	    10	0	0  
 136083.863000  	    9a	6	2  
 136084.277000  	    0	0	0  
 136284.653000  	    ba	9	2  
 136285.069000  	    30	0	0  
 136385.478000  	    4f	a	2  
 136385.909000  	    4a	a	2  
 136386.324000  	    0	0	0  
 136886.694000  	    ba	9	2  
 136887.145000  	    30	0	0  
 136987.472000  	    99	a	2  
 136987.844000  	    10	0	0  
 137238.145000  	    9a	6	2  
 137238.524000  	    0	0	0  
 137438.825000  	    ba	9	2  
 137439.206000  	    30	0	0  
 137539.535000  	    9b	a	2  
 137539.922000  	    46	a	2  
 137540.301000  	    0	0	0  
 138040.632000  	    b6	9	2  
 138041.035000  	    30	0	0  
 138141.397000  	    95	a	2  
 138141.786000  	    10	0	0  
 138392.088000  	    96	6	2  
 138392.475000  	    0	0	0  
 138592.771000  	    b6	9	2  
 138593.158000  	    30	0	0  
 138693.477000  	    4f	a	2  
 138693.867000  	    4a	a	2  
 138694.257000  	    0	0	0  
 139194.606000  	    ba	9	2  
 139195.026000  	    30	0	0  
 139295.376000  	    99	a	2  
 139295.767000  	    10	0	0  
 139546.069000  	    9a	6	2  
 139546.456000  	    0	0	0  
 139746.767000  	    ba	9	2  
 139747.160000  	    30	0	0  
 139847.488000  	    4f	a	2  
 139847.885000  	    4a	a	2  
 139848.283000  	    0	0	0  
 140348.617000  	    ba	9	2  
