---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
 24152983.060000  	    7a	8	2  
 24152984.433000  	    50	0	0  
 24153986.941000  	    8a	3	2  
 24153988.176000  	    8a	2	2  
 24153989.404000  	    0	0	0  
 24156990.704000  	    7a	8	2  
 24156992.026000  	    50	0	0  
 24157993.949000  	    b9	0	2  
 24157995.113000  	    10	0	0  
 24163996.295000  	    7a	8	2  
 24163997.457000  	    50	0	0  
 24164999.646000  	    ba	0	2  
 24165000.893000  	    10	0	0  
 24165052.292000  	    7a	8	2  
 24165053.576000  	    50	0	0  
 24166056.037000  	    8a	3	2  
 24166057.315000  	    8a	2	2  
 24166058.622000  	    0	0	0  
 24169059.903000  	    7a	8	2  
 24169061.123000  	    50	0	0  
 24170063.267000  	    b9	0	2  
 24170064.499000  	    10	0	0  
 24176065.804000  	    7a	8	2  
 24176067.123000  	    50	0	0  
 24177069.301000  	    ba	0	2  
 24177070.444000  	    10	0	0  
 24177121.685000  	    7a	8	2  
 24177122.915000  	    50	0	0  
 24178125.239000  	    8a	3	2  
 24178126.517000  	    8a	2	2  
 24178127.827000  	    0	0	0  
 24181129.103000  	    7a	8	2  
 24181130.311000  	    50	0	0  
 24182132.772000  	    b9	0	2  
 24182134.090000  	    10	0	0  
 24188135.580000  	    7a	8	2  
 24188136.807000  	    50	0	0  
 24189139.229000  	    ba	0	2  
 24189140.467000  	    10	0	0  
 24189191.791000  	    7a	8	2  
 24189192.949000  	    50	0	0  
 24190195.046000  	    8a	3	2  
 24190196.232000  	    8a	2	2  
 24190197.443000  	    0	0	0  
 24193198.718000  	    7a	8	2  
 24193199.921000  	    50	0	0  
 24194202.147000  	    b9	0	2  
 24194203.294000  	    10	0	0  
 24200204.550000  	    7a	8	2  
 24200205.879000  	    50	0	0  
 24201208.414000  	    ba	0	2  
 24201209.686000  	    10	0	0  
 24201261.067000  	    7a	8	2  
 24201262.359000  	    50	0	0  
 24202264.748000  	    8a	3	2  
 24202265.996000  	    8a	2	2  
 24202267.233000  	    0	0	0  
 24205268.544000  	    7a	8	2  
 24205269.918000  	    50	0	0  
 24206272.357000  	    b9	0	2  
 24206273.695000  	    10	0	0  
 24212275.007000  	    7a	8	2  
 24212276.304000  	    50	0	0  
 24213279.138000  	    ba	0	2  
 24213280.360000  	    10	0	0  
 24213331.788000  	    7a	8	2  
 24213333.166000  	    50	0	0  
 24214336.025000  	    8a	3	2  
 24214337.232000  	    8a	2	2  
 24214338.426000  	    0	0	0  
 24217339.728000  	    7a	8	2  
 24217341.023000  	    50	0	0  
 24218343.356000  	    b9	0	2  
 24218344.637000  	    10	0	0  
 24224346.081000  	    7a	8	2  
 24224347.336000  	    50	0	0  
 24225350.152000  	    ba	0	2  
 24225351.497000  	    10	0	0  
 24225402.954000  	    7a	8	2  
 24225404.278000  	    50	0	0  
 24226406.754000  	    8a	3	2  
 24226408.113000  	    8a	2	2  
 24226409.475000  	    0	0	0  
 24229410.914000  	    7a	8	2  
 24229412.202000  	    50	0	0  
 24230414.600000  	    b9	0	2  
 24230415.812000  	    10	0	0  
 24236417.116000  	    7a	8	2  
 24236418.494000  	    50	0	0  
 24237421.014000  	    ba	0	2  
 24237422.229000  	    10	0	0  
 24237473.573000  	    7a	8	2  
 24237474.915000  	    50	0	0  
 24238477.310000  	    8a	3	2  
 24238478.565000  	    8a	2	2  
 24238479.918000  	    0	0	0  
 24241481.326000  	    7a	8	2  
 24241482.546000  	    50	0	0  
 24242484.872000  	    b9	0	2  
 24242486.096000  	    10	0	0  
 24248487.487000  	    7a	8	2  
 24248488.756000  	    50	0	0  
 24249491.226000  	    ba	0	2  
 24249492.436000  	    10	0	0  
 24249543.763000  	    7a	8	2  
 24249545.008000  	    50	0	0  
 24250547.350000  	    8a	3	2  
 24250548.675000  	    8a	2	2  
 24250550.086000  	    0	0	0  
 24253551.523000  	    7a	8	2  
 24253552.750000  	    50	0	0  
 24254555.159000  	    b9	0	2  
 24254556.441000  	    10	0	0  
 24260557.912000  	    7a	8	2  
 24260559.217000  	    50	0	0  
 24261561.541000  	    ba	0	2  
 24261562.811000  	    10	0	0  
 24261614.148000  	    7a	8	2  
 24261615.427000  	    50	0	0  
 24262617.832000  	    8a	3	2  
 24262619.132000  	    8a	2	2  
 24262620.390000  	    0	0	0  
 24265621.761000  	    7a	8	2  
 24265623.027000  	    50	0	0  
 24266624.699000  	    b9	0	2  
 24266625.840000  	    10	0	0  
 24272627.118000  	    7a	8	2  
 24272628.412000  	    50	0	0  
 24274630.744000  	    ba	0	2  
 24274632.004000  	    10	0	0  
 24274683.374000  	    7a	8	2  
 24274684.639000  	    50	0	0  
 24275687.145000  	    8a	3	2  
 24275688.403000  	    8a	2	2  
 24275689.669000  	    0	0	0  
 24278690.956000  	    7a	8	2  
 24278692.186000  	    50	0	0  
 24279694.731000  	    b9	0	2  
 24279695.984000  	    10	0	0  
 24285697.274000  	    7a	8	2  
 24285698.517000  	    50	0	0  
