---------------------------------------------------
  Seconds  	 Bits to EIO (12) 	 CIO (13) 	 FIO (15)
 3860286.768000  	    8a	3	2  
 3860287.907000  	    8a	2	2  
 3860289.055000  	    0	0	0  
 3866290.297000  	    7a	8	2  
 3866291.528000  	    50	0	0  
 3867293.818000  	    b9	0	2  
 3867295.078000  	    10	0	0  
 3876296.527000  	    7a	8	2  
 3876297.858000  	    50	0	0  
 3877300.390000  	    ba	0	2  
 3877301.612000  	    10	0	0  
 3877502.979000  	    7a	8	2  
 3877504.248000  	    50	0	0  
 3878506.702000  	    8a	3	2  
 3878507.979000  	    8a	2	2  
 3878509.242000  	    0	0	0  
 3884510.567000  	    7a	8	2  
 3884511.840000  	    50	0	0  
 3885513.659000  	    b9	0	2  
 3885514.801000  	    10	0	0  
 3894516.020000  	    7a	8	2  
 3894517.263000  	    50	0	0  
 3895519.773000  	    ba	0	2  
 3895521.020000  	    10	0	0  
 3895722.379000  	    7a	8	2  
 3895723.612000  	    50	0	0  
 3896725.833000  	    8a	3	2  
 3896727.180000  	    8a	2	2  
 3896728.528000  	    0	0	0  
 3902730.005000  	    7a	8	2  
 3902731.236000  	    50	0	0  
 3903733.586000  	    b9	0	2  
 3903734.841000  	    10	0	0  
 3912736.173000  	    7a	8	2  
 3912737.403000  	    50	0	0  
 3913739.928000  	    ba	0	2  
 3913741.161000  	    10	0	0  
 3913942.532000  	    7a	8	2  
 3913943.822000  	    50	0	0  
 3914946.284000  	    8a	3	2  
 3914947.535000  	    8a	2	2  
 3914948.780000  	    0	0	0  
 3920950.063000  	    7a	8	2  
 3920951.220000  	    50	0	0  
 3921953.377000  	    b9	0	2  
 3921954.549000  	    10	0	0  
 3930955.817000  	    7a	8	2  
 3930957.081000  	    50	0	0  
 3931959.785000  	    ba	0	2  
 3931960.973000  	    10	0	0  
 3932162.319000  	    7a	8	2  
 3932163.615000  	    50	0	0  
 3933165.974000  	    b6	1	2  
 3933167.230000  	    86	2	2  
 3933168.501000  	    0	0	0  
 3939169.995000  	    76	8	2  
 3939171.543000  	    50	0	0  
 3940174.455000  	    b5	0	2  
 3940175.753000  	    10	0	0  
 3949177.042000  	    76	8	2  
 3949178.297000  	    50	0	0  
 3950180.805000  	    b6	0	2  
 3950182.010000  	    10	0	0  
 3950383.278000  	    76	8	2  
 3950384.603000  	    50	0	0  
 3951386.940000  	    8a	3	2  
 3951388.135000  	    8a	2	2  
 3951389.343000  	    0	0	0  
 3957390.608000  	    7a	8	2  
 3957391.845000  	    50	0	0  
 3958394.220000  	    b9	0	2  
 3958395.489000  	    10	0	0  
 3967396.793000  	    7a	8	2  
 3967398.029000  	    50	0	0  
 3968400.676000  	    ba	0	2  
 3968401.942000  	    10	0	0  
 3968603.381000  	    7a	8	2  
 3968604.679000  	    50	0	0  
 3969607.187000  	    8a	3	2  
 3969608.387000  	    8a	2	2  
 3969609.632000  	    0	0	0  
 3975610.984000  	    7a	8	2  
 3975612.209000  	    50	0	0  
 3976614.287000  	    b9	0	2  
 3976615.435000  	    10	0	0  
 3985616.668000  	    7a	8	2  
 3985617.963000  	    50	0	0  
 3986620.336000  	    ba	0	2  
 3986621.532000  	    10	0	0  
 3986822.901000  	    7a	8	2  
 3986824.318000  	    50	0	0  
 3987826.908000  	    8a	3	2  
 3987828.143000  	    8a	2	2  
 3987829.390000  	    0	0	0  
 3993830.700000  	    7a	8	2  
 3993831.931000  	    50	0	0  
 3994834.068000  	    b9	0	2  
 3994835.300000  	    10	0	0  
 4003836.609000  	    7a	8	2  
 4003837.918000  	    50	0	0  
 4004840.561000  	    ba	0	2  
 4004841.808000  	    10	0	0  
 4005043.166000  	    7a	8	2  
 4005044.444000  	    50	0	0  
 4006046.781000  	    8a	3	2  
 4006048.044000  	    8a	2	2  
 4006049.316000  	    0	0	0  
 4012050.617000  	    7a	8	2  
 4012051.781000  	    50	0	0  
 4013053.551000  	    b9	0	2  
 4013054.767000  	    10	0	0  
 4022056.026000  	    7a	8	2  
 4022057.238000  	    50	0	0  
 4023059.756000  	    ba	0	2  
 4023060.966000  	    10	0	0  
 4023262.333000  	    7a	8	2  
 4023263.622000  	    50	0	0  
 4024265.937000  	    8a	3	2  
 4024267.271000  	    8a	2	2  
 4024268.545000  	    0	0	0  
 4030269.961000  	    7a	8	2  
 4030271.245000  	    50	0	0  
 4031273.727000  	    b9	0	2  
 4031274.950000  	    10	0	0  
 4040276.291000  	    7a	8	2  
 4040277.572000  	    50	0	0  
 4041279.842000  	    ba	0	2  
 4041281.034000  	    10	0	0  
 4041482.322000  	    7a	8	2  
 4041483.545000  	    50	0	0  
 4042485.869000  	    8a	3	2  
 4042487.124000  	    8a	2	2  
 4042488.382000  	    0	0	0  
 4048489.669000  	    7a	8	2  
 4048490.902000  	    50	0	0  
 4049493.120000  	    b9	0	2  
 4049494.369000  	    10	0	0  
 4058495.579000  	    7a	8	2  
 4058496.747000  	    50	0	0  
 4059499.001000  	    ba	0	2  
 4059500.287000  	    10	0	0  
 4059701.660000  	    7a	8	2  
 4059702.936000  	    50	0	0  
 4060705.120000  	    8a	3	2  
 4060706.408000  	    8a	2	2  
 4060707.687000  	    0	0	0  
 4066709.048000  	    7a	8	2  
 4066710.325000  	    50	0	0  
 4067712.053000  	    b9	0	2  
 4067713.241000  	    10	0	0  
 4076714.488000  	    7a	8	2  
 4076715.685000  	    50	0	0  
 4077718.007000  	    ba	0	2  
 4077719.192000  	    10	0	0  
 4077920.501000  	    7a	8	2  
 4077921.760000  	    50	0	0  
 4078924.023000  	    8a	3	2  
 4078925.306000  	    8a	2	2  
 4078926.605000  	    0	0	0  
 4084927.924000  	    7a	8	2  
 4084929.152000  	    50	0	0  
 4085931.473000  	    b9	0	2  
 4085932.731000  	    10	0	0  
 4094934.077000  	    7a	8	2  
 4094935.361000  	    50	0	0  
 4095937.804000  	    ba	0	2  
 4095939.009000  	    10	0	0  
